CODIGO	DIAGNOSTIC
P034	FETO Y RECIEN NACIDO AFECTADOS POR PARTO POR CESAREA
P035	FETO Y RECIEN NACIDO AFECTADOS POR PARTO PRECIPITADO
P036	FETO Y RECIEN NACIDO AFECTADOS POR CONTRACCIONES UTERINAS ANORMALES
P038	FETO Y RECIEN NACIDO AFECTADOS POR OTRAS COMPLICACIONES ESPECIFICADAS DEL TRABAJO DE PARTO Y DEL PAR
P039	FETO Y RECIEN NACIDO AFECTADOS POR COMPLICACIONES NO ESPECIFICADAS DEL TRABAJO DE PARTO Y DEL PARTO
P04	FETO Y RECIEN NACIDO AFECTADOS POR INFLUENCIAS NOCIVAS TRANSMITIDAS A TRAVES DE LA PLACENTA O DE LA
P040	"FETO Y RECIEN NACIDO AFECTADOS POR ANESTESIA Y ANALGESIA MATERNA EN EL EMBARAZO, EN EL TRABAJO DE PA"
P041	FETO Y RECIEN NACIDO AFECTADOS POR OTRAS MEDICACIONES MATERNAS
P042	FETO Y RECIEN NACIDO AFECTADOS POR TABAQUISMO DE LA MADRE
P043	FETO Y RECIEN NACIDO AFECTADOS POR ALCOHOLISMO DE LA MADRE
P044	FETO Y RECIEN NACIDO AFECTADOS POR DROGADICCION MATERNA
P045	FETO Y RECIEN NACIDO AFECTADOS POR EL USO MATERNO DE SUBSTANCIAS QUIMICAS NUTRICIONALES
P046	FETO Y RECIEN NACIDO AFECTADOS POR EXPOSICION MATERNA A SUBSTANCIAS QUIMICAS AMBIENTALES
P048	FETO Y RECIEN NACIDO AFECTADOS POR OTRAS INFLUENCIAS NOCIVAS DE LA MADRE
P049	"FETO Y RECIEN NACIDO AFECTADOS POR INFLUENCIAS NOCIVAS DE LA MADRE, NO ESPECIFICADAS"
P05	RETARDO DEL CRECIMIENTO FETAL Y DESNUTRICION FETAL
P050	BAJO PESO PARA LA EDAD GESTACIONAL
P051	PEQUE#O PARA LA EDAD GESTACIONAL
P052	"DESNUTRICION FETAL, SIN MENCION DE PESO O TALLA BAJOS PARA LA EDAD GESTACIONAL"
P059	"RETARDO DEL CRECIMIENTO FETAL, NO ESPECIFICADO"
P07	"TRASTORNOS RELACIONADOS CON DURACION CORTA DE LA GESTACION Y CON BAJO PESO AL NACER, NO CLASIFICADOS"
P070	PESO EXTREMADAMENTE BAJO AL NACER
P071	OTRO PESO BAJO AL NACER
P072	INMATURIDAD EXTREMA
P073	OTROS RECIEN NACIDOS PRETERMINO
P08	TRASTORNOS RELACIONADOS CON EL EMBARAZO PROLONGADO Y CON SOBREPESO AL NACER
P080	RECIEN NACIDO EXCEPCIONALMENTE GRANDE
P081	OTROS RECIEN NACIDOS CON SOBREPESO PARA LA EDAD GESTACIONAL
P082	RECIEN NACIDO POSTERMINO SIN SOBREPESO PARA SU EDAD GESTACIONAL
P10	HEMORRAGIA Y LACERACION INTRACRANEAL DEBIDAS A TRAUMATISMO DEL NACIMIENTO
P100	HEMORRAGIA SUBDURAL DEBIDA A TRAUMATISMO DEL NACIMIENTO
P101	HEMORRAGIA CEREBRAL DEBIDA A TRAUMATISMO DEL NACIMIENTO
P102	HEMORRAGIA INTRAVENTRICULAR DEBIDA A TRAUMATISMO DEL NACIMIENTO
P103	HEMORRAGIA SUBARACNOIDEA DEBIDA A TRAUMATISMO DEL NACIMIENTO
P104	DESGARRO TENTORIAL DEBIDO A TRAUMATISMO DEL NACIMIENTO
P108	OTRAS HEMORRAGIAS Y LACERACIONES INTRACRANEALES DEBIDAS A TRAUMATISMO DEL NACIMIENTO
P109	"HEMORRAGIA Y LACERACION INTRACRANEALES NO ESPECIFICADAS, DEBIDAS A TRAUMATISMO DEL NACIMIENTO"
P11	OTROS TRAUMATISMOS DEL NACIMIENTO EN EL SISTEMA NERVIOSO CENTRAL
P110	EDEMA CEREBRAL DEBIDO A TRAUMATISMO DEL NACIMIENTO
P111	OTRAS LESIONES ESPECIFICADAS DEL ENCEFALO DEBIDAS A TRAUMATISMO DEL NACIMIENTO
P112	"LESION NO ESPECIFICADA DEL ENCEFALO, DEBIDA A TRAUMATISMO DEL NACIMIENTO"
P113	TRAUMATISMO DEL NACIMIENTO EN EL NERVIO FACIAL
P114	TRAUMATISMO DEL NACIMIENTO EN OTROS NERVIOS CRANEALES
P115	TRAUMATISMO DEL NACIMIENTO EN LA COLUMNA VERTEBRAL Y EN LA MEDULA ESPINAL
P119	"TRAUMATISMO DEL NACIMIENTO EN EL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADO"
P12	TRAUMATISMO DEL NACIMIENTO EN EL CUERO CABELLUDO
P120	CEFALOHEMATOMA DEBIDO A TRAUMATISMO DEL NACIMIENTO
P121	CAPUT SUCCEDANEUM DEBIDO A TRAUMATISMO DEL NACIMIENTO
P122	HEMORRAGIA EPICRANEAL SUBAPONEUROTICA DEBIDA A TRAUMATISMO DEL NACIMIENTO
P123	EQUIMOSIS DEL CUERO CABELLUDO DEBIDA A TRAUMATISMO DEL NACIMIENTO
P124	TRAUMATISMO EN EL CUERO CABELLUDO DEL RECIEN NACIDO POR MONITOREO FETAL
P128	OTROS TRAUMATISMOS DEL NACIMIENTO EN EL CUERO CABELLUDO
P129	"TRAUMATISMO DEL NACIMIENTO EN EL CUERO CABELLUDO, NO ESPECIFICADO"
P13	TRAUMATISMO DEL ESQUELETO DURANTE EL NACIMIENTO
P130	FRACTURA DEL CRANEO DEBIDA A TRAUMATISMO DEL NACIMIENTO
P131	OTROS TRAUMATISMOS DEL CRANEO DURANTE EL NACIMIENTO
P132	TRAUMATISMO DEL FEMUR DURANTE EL NACIMIENTO
P133	TRAUMATISMO DE OTROS HUESOS LARGOS DURANTE EL NACIMIENTO
P134	FRACTURA DE LA CLAVICULA DEBIDA A TRAUMATISMO DEL NACIMIENTO
P138	TRAUMATISMO DEL NACIMIENTO EN OTRAS PARTES DEL ESQUELETO
P139	TRAUMATISMO NO ESPECIFICADO DEL ESQUELETO DURANTE EL NACIMIENTO
P14	TRAUMATISMO DEL SISTEMA NERVIOSO PERIFERICO DURANTE EL NACIMIENTO
P140	PARALISIS DE ERB DEBIDA A TRAUMATISMO DEL NACIMIENTO
P141	PARALISIS DE KLUMPKE DEBIDA A TRAUMATISMO DEL NACIMIENTO
P142	PARALISIS DEL NERVIO FRENICO DEBIDA A TRAUMATISMO DEL NACIMIENTO
P143	OTRO TRAUMATISMO DEL PLEXO BRAQUIAL DURANTE EL NACIMIENTO
P148	TRAUMATISMO DURANTE EL NACIMIENTO EN OTRAS PARTES DEL SISTEMA NERVIOSO PERIFERICO
P149	TRAUMATISMO NO ESPECIFICADO DEL SISTEMA NERVIOSO PERIFERICO DURANTE EL NACIMIENTO
P15	OTROS TRAUMATISMOS DEL NACIMIENTO
P150	LESION DEL HIGADO DURANTE EL NACIMIENTO
P151	LESION DEL BAZO DURANTE EL NACIMIENTO
P152	TRAUMATISMO DEL MUSCULO ESTERNOCLEIDOMASTOIDEO DURANTE EL NACIMIENTO
P153	TRAUMATISMO OCULAR DURANTE EL NACIMIENTO
P154	TRAUMATISMO FACIAL DURANTE EL NACIMIENTO
P155	TRAUMATISMO DE LOS GENITALES EXTERNOS DURANTE EL NACIMIENTO
P156	NECROSIS GRASA SUBCUTANEA DEBIDA A TRAUMATISMO DEL NACIMIENTO
P158	"OTROS TRAUMATISMOS ESPECIFICADOS, DURANTE EL NACIMIENTO"
P159	TRAUMATISMO NO ESPECIFICADO DURANTE EL NACIMIENTO
P20	HIPOXIA INTRAUTERINA
P200	HIPOXIA INTRAUTERINA NOTADA POR PRIMERA VEZ ANTES DEL INICIO DEL TRABAJO DE PARTO
P201	HIPOXIA INTRAUTERINA NOTADA POR PRIMERA VEZ DURANTE EL TRABAJO DE PARTO Y EL PARTO
P209	"HIPOXIA INTRAUTERINA, NO ESPECIFICADA"
P21	ASFIXIA DEL NACIMIENTO
P210	"ASFIXIA DEL NACIMIENTO, SEVERA"
P211	"ASFIXIA DEL NACIMIENTO, LEVE Y MODERADA"
P219	"ASFIXIA DEL NACIMIENTO, NO ESPECIFICADA"
P22	DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO
P220	SINDROME DE DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO
P221	TAQUIPNEA TRANSITORIA DEL RECIEN NACIDO
P228	OTRAS DIFICULTADES RESPIRATORIAS DEL RECIEN NACIDO
P229	"DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO, NO ESPECIFICADA"
P23	NEUMONIA CONGENITA
P230	NEUMONIA CONGENITA DEBIDA A AGENTE VIRAL
P231	NEUMONIA CONGENITA DEBIDA A CHLAMYDIA
P232	NEUMONIA CONGENITA DEBIDA A ESTAFILOCOCOS
P233	NEUMONIA CONGENITA DEBIDA A ESTREPTOCOCOS DEL GRUPO B
P234	NEUMONIA CONGENITA DEBIDA A ESCHERICHIA COLI
P235	NEUMONIA CONGENITA DEBIDA A PSEUDOMONAS
P236	NEUMONIA CONGENITA DEBIDA A OTROS AGENTES BACTERIANOS
P238	NEUMONIA CONGENITA DEBIDA A OTROS ORGANISMOS
P239	"NEUMONIA CONGENITA, ORGANISMO NO ESPECIFICADO"
P24	SINDROMES DE ASPIRACION NEONATAL
P240	ASPIRACION NEONATAL DE MECONIO
P241	ASPIRACION NEONATAL DE LIQUIDO AMNIOTICO Y DE MOCO
P242	ASPIRACION NEONATAL DE SANGRE
P243	ASPIRACION NEONATAL DE LECHE Y ALIMENTO REGURGITADO
P248	OTROS SINDROMES DE ASPIRACION NEONATAL
P249	"SINDROME DE ASPIRACION NEONATAL, SIN OTRA ESPECIFICACION"
P25	"ENFISEMA INTERSTICIAL Y AFECCIONES RELACIONADAS, ORIGINADAS EN EL PERIODO PERINATAL"
P250	ENFISEMA INTERSTICIAL ORIGINADO EN EL PERIODO PERINATAL
P251	NEUMOTORAX ORIGINADO EN EL PERIODO PERINATAL
P252	NEUMOMEDIASTINO ORIGINADO EN EL PERIODO PERINATAL
P253	NEUMOPERICARDIO ORIGINADO EN EL PERIODO PERINATAL
P258	"OTRAS AFECCIONES RELACIONADAS CON EL ENFISEMA INTERSTICIAL, ORIGINADAS EN EL PERIODO PERINATAL"
P26	HEMORRAGIA PULMONAR ORIGINADA EN EL PERIODO PERINATAL
P260	HEMORRAGIA TRAQUEOBRONQUIAL ORIGINADA EN EL PERIODO PERINATAL
P261	HEMORRAGIA PULMONAR MASIVA ORIGINADA EN EL PERIODO PERINATAL
P268	OTRAS HEMORRAGIAS PULMONARES ORIGINADAS EN EL PERIODO PERINATAL
P269	"HEMORRAGIA PULMONAR NO ESPECIFICADA, ORIGINADA EN EL PERIODO PERINATAL"
P27	ENFERMEDAD RESPIRATORIA CRONICA ORIGINADA EN EL PERIODO PERINATAL
P270	SINDROME DE WILSON-MIKITY
P271	DISPLASIA BRONCOPULMONAR ORIGINADA EN EL PERIODO PERINATAL
P278	OTRAS ENFERMEDADES RESPIRATORIAS CRONICAS ORIGINADDAS EN EL PERIODO PERINATAL
P279	ENFERMEDAD RESPIRATORIA CRONICA NO ESPECIFICADA ORIGINADA EN EL PERIODO PERINATAL
P28	"OTROS PROBLEMAS RESPIRATORIOS DEL RECIEN NACIDO, ORIGINADOS EN EL PERIODO PERINATAL"
P280	ATELECTASIA PRIMARIA DEL RECIEN NACIDO
P281	OTRAS ATELECTASIAS DEL RECIEN NACIDO Y LAS NO ESPECIFICADAS
P282	ATAQUE CIANOTICO DEL RECIEN NACIDO
P283	APNEA PRIMARIA DEL SUE#O DEL RECIEN NACIDO
P284	OTRAS APNEAS DEL RECIEN NACIDO
P285	INSUFICIENCIA RESPIRATORIA DEL RECIEN NACIDO
P288	OTROS PROBLEMAS RESPIRATORIOS ESPECIFICADOS DEL RECIEN NACIDO
P289	AFECCION RESPIRATORIA NO ESPECIFICADA DEL RECIEN NACIDO
P29	TRASTORNOS CARDIOVASCULARES ORIGINADOS EN EL PERIODO PERINATAL
P290	INSUFICIENCIA CARDIACA NEONATAL
P291	DISRRITMIA CARDIACA NEONATAL
P292	HIPERTENSION NEONATAL
P293	PERSISTENCIA DE LA CIRCULACION FETAL
P294	ISQUEMIA MIOCARDICA TRANSITORIA DEL RECIEN NACIDO
P298	OTROS TRASTORNOS CARDIOVASCULARES ORIGINADOS EN EL PERIODO PERINATAL
P299	"TRASTORNO CARDIOVASCULAR NO ESPECIFICADO, ORIGINADO EN EL PERIODO PERINATAL"
P35	ENFERMEDADES VIRALES CONGENITAS
P350	SINDROME DE RUBEOLA CONGENITA
P351	INFECCION CITOMEGALOVIRICA CONGENITA
P352	INFECCIONES CONGENITAS POR VIRUS DEL HERPES SIMPLE
P353	HEPATITIS VIRAL CONGENITA
P358	OTRAS ENFERMEDADES VIRALES CONGENITAS
P359	"ENFERMEDAD VIRAL CONGENITA, SIN OTRA ESPECIFICACION"
P36	SEPSIS BACTERIANA DEL RECIEN NACIDO
P360	SEPSIS DEL RECIEN NACIDO DEBIDA A ESTREPTOCOCO DEL GRUPO B
P361	SEPSIS DEL RECIEN NACIDO DEBIDA A ESTREPTOCOCO DE OTRO GRUPO Y EL NO ESPECIFICADO
P362	SEPSIS DEL RECIEN NACIDO DEBIDA A STAPHYLOCOCCUS AUREUS
P363	SEPSIS DEL RECIEN NACIDO DEBIDA A ESTAFILOCOCO DE OTRA ESPECIE Y LA NO ESPECIFICADA
P364	SEPSIS DEL RECIEN NACIDO DEBIDA A ESCHERICHIA COLI
P365	SEPSIS DEL RECIEN NACIDO DEBIDA A ANAEROBIOS
P368	SEPSIS DEL RECIEN NACIDO DEBIDA A OTRAS BACTERIAS
P369	"SEPSIS BACTERIANA DEL RECIEN NACIDO, NO ESPECIFICADA"
P37	OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CONGENITAS
P370	TUBERCULOSIS CONGENITA
P371	TOXOPLASMOSIS CONGENITA
P372	LISTERIOSIS CONGENITA (DISEMINADA)
P373	PALUDISMO CONGENITO POR PLASMODIUM FALCIPARUM
P374	OTROS PALUDISMOS CONGENITOS
P375	CANDIDIASIS NEONATAL
P378	OTRAS ENFERMEDADES NEONATALES INFECCIOSAS O PARASITARIAS ESPECIFICADAS
P379	"ENFERMEDAD INFECCIOSA Y PARASITARIA CONGENITA, NO ESPECIFICADA"
P38	ONFALITIS DEL RECIEN NACIDO CON O SIN HEMORRAGIA LEVE
P38X	ONFALITIS DEL RECIEN NACIDO CON O SIN HEMORRAGIA LEVE
P39	OTRAS INFECCIONES ESPECIFICAS DEL PERIODO PERINATAL
P390	MASTITIS INFECCIOSA NEONATAL
P391	CONJUNTIVITIS Y DACRIOCISTITIS NEONATALES
P392	"INFECCION INTRAAMNIOTICA DEL FETO, NO CLASIFICADA EN OTRA PARTE"
P393	INFECCION NEONATAL DE LAS VIAS URINARIAS
P394	INFECCION CUTANEA NEONATAL
P398	OTRAS INFECCIONES ESPECIFICADAS PROPIAS DEL PERIODO PERINATAL
P399	"INFECCION PROPIA DEL PERIODO PERINATAL, NO ESPECIFICADA"
P50	PERDIDA DE SANGRE FETAL
P500	PERDIDA DE SANGRE FETAL POR VASA PREVIA
P501	PERDIDA DE SANGRE FETAL POR RUPTURA DEL CORDON UMBILICAL
P502	PERDIDA DE SANGRE FETAL POR LA PLACENTA
P503	HEMORRAGIA FETAL HACIA EL OTRO GEMELO
P504	HEMORRAGIA FETAL HACIA LA CIRCULACION MATERNA
P505	PERDIDA DE SANGRE FETAL POR EL CORTE DEL CORDON UMBILICAL EN EL OTRO GEMELO
P508	OTRAS PERDIDAS DE SANGRE FETAL
P509	"PERDIDA DE SANGRE FETAL, NO ESPECIFICADA"
P51	HEMORRAGIA UMBILICAL DEL RECIEN NACIDO
P510	HEMORRAGIA UMBILICAL MASIVA DEL RECIEN NACIDO
P518	OTRAS HEMORRAGIAS UMBILICALES DEL RECIEN NACIDO
P519	"HEMORRAGIA UMBILICAL DEL RECIEN NACIDO, SIN OTRA ESPECIFICACION"
P52	HEMORRAGIA INTRACRANEAL NO TRAUMATICA DEL FETO Y DEL RECIEN NACIDO
P520	"HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) GRADO 1, DEL FETO Y DEL RECIEN NACIDO"
P521	"HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) GRADO 2, DEL FETO Y DEL RECIEN NACIDO"
P522	"HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) GRADO 3, DEL FETO Y DEL RECIEN NACIDO"
P523	"HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO, SIN OTRA ESPECIFICACION"
P524	HEMORRAGIA INTRACEREBRAL (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO
P525	HEMORRAGIA SUBARACNOIDEA (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO
P526	HEMORRAGIA CEREBELOSA Y DE LA FOSA POSTERIOR (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO
P528	OTRAS HEMORRAGIAS INTRACRANEALES (NO TRAUMATICAS) DEL FETO Y DEL RECIEN NACIDO
P529	"HEMORRAGIA INTRACRANEAL (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO, SIN OTRA ESPECIFICACION"
P53	ENFERMEDAD HEMORRAGICA DEL FETO Y DEL RECIEN NACIDO
P53X	ENFERMEDAD HEMORRAGICA DEL FETO Y DEL RECIEN NACIDO
P54	OTRAS HEMORRAGIAS NEONATALES
P540	HEMATEMESIS NEONATAL
P541	MELENA NEONATAL
P542	HEMORRAGIA RECTAL NEONATAL
P543	OTRAS HEMORRAGIAS GASTROINTESTINALES NEONATALES
P544	HEMORRAGIA SUPRARRENAL NEONATAL
P545	HEMORRAGIA CUTANEA NEONATAL
P546	HEMORRAGIA VAGINAL NEONATAL
P548	OTRAS HEMORRAGIAS FETALES Y NEONATALES ESPECIFICADAS
P549	"HEMORRAGIA FETAL Y NEONATAL, NO ESPECIFICADA"
P55	ENFERMEDAD HEMOLITICA DEL FETO Y DEL RECIEN NACIDO
P550	INCOMPATIBILIDAD RH DEL FETO Y DEL RECIEN NACIDO
P551	INCOMPATIBILIDAD ABO DEL FETO Y DEL RECIEN NACIDO
P558	OTRAS ENFERMEDADES HEMOLITICAS DEL FETO Y DEL RECIEN NACIDO
P559	"ENFERMEDAD HEMOLITICA DEL FETO Y DEL RECIEN NACIDO, NO ESPECIFICADA"
P56	HIDROPESIA FETAL DEBIDA A ENFERMEDAD HEMOLITICA
P560	HIDROPESIA FETAL DEBIDA A INCOMPATIBILIDAD
P569	HIDROPESIA FETAL DEBIDA A OTRAS ENFERMEDADES HEMOLITICAS ESPECIFICADAS Y A LAS NO ESPECIFICADAS
P57	KERNICTERUS
P570	KERNICTERUS DEBIDO A INCOMPATIBILIDAD
P578	KERNICTERUS DEBIDO A OTRAS CAUSAS ESPECIFICADAS
P579	"KERNICTERUS, NO ESPECIFICADO"
P58	ICTERICIA NEONATAL DEBIDA A OTRAS HEMOLISIS EXCESIVAS
P580	ICTERICIA NEONATAL DEBIDA A CONTUSION
P581	ICTERICIA NEONATAL DEBIDA A HEMORRAGIA
P582	ICTERICIA NEONATAL DEBIDA A INFECCION
P583	ICTERICIA NEONATAL DEBIDA A POLICITEMIA
P584	ICTERICIA NEONATAL DEBIDA A DROGAS O TOXINAS TRANSMITIDAS POR LA MADRE O ADMINISTRADAS AL RECIEN NAC
P585	ICTERICIA NEONATAL DEBIDA A DEGLUCION DE SANGRE MATERNA
P588	ICTERICIA NEONATAL DEBIDA A OTRAS HEMOLISIS EXCESIVAS ESPECIFICADAS
P589	"ICTERICIA NEONATAL DEBIDA A HEMOLISIS EXCESIVA, SIN OTRA ESPECIFICACION"
P59	ICTERICIA NEONATAL POR OTRAS CAUSAS Y POR LAS NO ESPECIFICADAS
P590	ICTERICIA NEONATAL ASOCIADA CON EL PARTO ANTES DE TERMINO
P591	SINDROME DE LA BILIS ESPESA
P592	ICTERICIA NEONATAL DEBIDA A OTRA LESION HEPATICA ESPECIFICADA O NO
P593	ICTERICIA NEONATAL POR INHIBIDOR DE LA LECHE MATERNA
P598	ICTERICIA NEONATAL POR OTRAS CAUSAS ESPECIFICADAS
P599	"ICTERICIA NEONATAL, NO ESPECIFICADA"
P60	COAGULACION INTRAVASCULAR DISEMINADA EN EL FETO Y EL RECIEN NACIDO
P60X	COAGULACION INTRAVASCULAR DISEMINADA EN EL FETO Y EL RECIEN NACIDO
P61	OTROS TRASTORNOS HEMATOLOGICOS PERINATALES
P610	TROMBOCITOPENIA NEONATAL TRANSITORIA
P611	POLICITEMIA NEONATAL
P612	ANEMIA DE LA PREMATURIDAD
P613	ANEMIA CONGENITA DEBIDA A PERDIDA DE SANGRE FETAL
P614	"OTRAS ANEMIAS CONGENITAS, NO CLASIFICADAS EN OTRA PARTE"
P615	NEUTROPENIA NEONATAL TRANSITORIA
P616	OTROS TRASTORNOS NEONATALES TRANSITORIOS DE LA COAGULACION
P618	OTROS TRASTORNOS HEMATOLOGICOS PERINATALES ESPECIFICADOS
P619	"TRASTORNO HEMATOLOGICO PERINATAL, NO ESPECIFICADO"
P70	TRASTORNOS TRANSITORIOS DEL METABOLISMO DE LOS CARBOHIDRATOS ESPECIFICOS DEL FETO Y DEL RECIEN NACID
P700	SINDROME DEL RECIEN NACIDO DE MADRE CON DIABETES GESTACIONAL
P701	SINDROME DEL RECIEN NACIDO DE MADRE DIABETICA
P702	DIABETES MELLITUS NEONATAL
P703	HIPOGLICEMIA NEONATAL YATROGENICA
P704	OTRAS HIPOGLICEMIAS NEONATALES
P708	OTROS TRASTORNOS TRANSITORIOS DEL METABOLISMO DE LOS CARBOHIDRATOS EN EL FETO Y EL RECIEN NACIDO
P709	TRASTORNO TRANSITORIO NO ESPECIFICADO DEL METABOLISMO DE LOS CARBOHIDRATOS EN EL FETO Y EL RECIEN NA
P71	TRASTORNOS NEONATALES TRANSITORIOS DEL METABOLISMO DEL CALCIO Y DEL MAGNESIO
P710	HIPOCALCEMIA DEL RECIEN NACIDO DEBIDA A LA LECHE DE VACA
P711	OTRA HIPOCALCEMIA NEONATAL
P712	HIPOMAGNESEMIA NEONATAL
P713	TETANIA NEONATAL SIN MENCION DE DEFICIENCIA DE CALCIO O DE MAGNESIO
P714	HIPOPARATIROIDISMO NEONATAL TRANSITORIO
P718	OTROS TRASTORNOS NEONATALES TRANSITORIOS DEL METABOLISMO DEL CALCIO Y DEL MAGNESIO
P719	TRASTORNO NEONATAL TRANSITORIO NO ESPECIFICADO DELMETABOLISMO DEL CALCIO Y DEL MAGNESIO
P72	OTROS TRASTORNOS ENDOCRINOS NEONATALES TRANSITORIOS
P720	"BOCIO NEONATAL, NO CLASIFICADO EN OTRA PARTE"
P721	HIPERTIROIDISMO NEONATAL TRANSITORIO
P722	"OTROS TRASTORNOS NEONATALES TRANSITORIOS DE LA FUNCION TIROIDEA, NO CLASIFICADOS EN OTRA PARTE"
P728	OTROS TRASTORNOS ENDOCRINOS NEONATALES TRANSITORIOS ESPECIFICADOS
P729	"TRASTORNO ENDOCRINO NEONATAL TRANSITORIO, NO ESPECIFICADO"
P74	OTRAS ALTERACIONES METABOLICAS Y ELECTROLITICAS NEONATALES TRANSITORIAS
P740	ACIDOSIS METABOLICA TARDIA DEL RECIEN NACIDO
P741	DESHIDRATACION DEL RECIEN NACIDO
P742	ALTERACIONES DEL EQUILIBRIO DEL SODIO EN EL RECIEN NACIDO
P743	ALTERACIONES DEL EQUILIBRIO DEL POTASIO EN EL RECIEN NACIDO
P744	OTRAS ALTERACIONES ELECTROLITICAS TRANSITORIAS DEL RECIEN NACIDO
P745	TIROSINEMIA TRANSITORIA DEL RECIEN NACIDO
P748	OTRAS ALTERACIONES METABOLICAS TRANSITORIAS DEL RECIEN NACIDO
P749	"TRASTORNO METABOLICO TRANSITORIO DEL RECIEN NACIDO, NO ESPECIFICADO"
P75	ILEO MECONIAL (E84.1+)
P75X	ILEO MECONIAL (E84.1+)
P76	OTRAS OBSTRUCCIONES INTESTINALES DEL RECIEN NACIDO
P760	SINDROME DEL TAPON DE MECONIO
P761	ILEO TRANSITORIO DEL RECIEN NACIDO
P762	OBSTRUCCION INTESTINAL DEBIDA A LA LECHE ESPESA
P768	OTRAS OBSTRUCCIONES INTESTINALES ESPECIFICADAS DELRECIEN NACIDO
P769	"OBSTRUCCION INTESTINAL DEL RECIEN NACIDO, NO ESPECIFICADA"
P77	ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIEN NACIDO
P77X	ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIEN NACIDO
P78	OTROS TRASTORNOS PERINATALES DEL SISTEMA DIGESTIVO
P780	PERFORACION INTESTINAL PERINATAL
P781	OTRAS PERITONITIS NEONATALES
P782	HEMATEMESIS Y MELENA NEONATALES DEBIDAS A LA DEGLUCION DE SANGRE MATERNA
P783	DIARREA NEONATAL NO INFECCIOSA
P788	OTROS TRASTORNOS PERINATALES ESPECIFICOS DEL SISTEMA DIGESTIVO
P789	"TRASTORNO PERINATAL DEL SISTEMA DIGESTIVO, NO ESPECIFICADO"
P80	HIPOTERMIA DEL RECIEN NACIDO
P800	SINDROME DEL ENFRIAMIENTO
P808	OTRAS HIPOTERMIAS DEL RECIEN NACIDO
P809	"HIPOTERMIA DEL RECIEN NACIDO, NO ESPECIFICADA"
P81	OTRAS ALTERACIONES DE LA REGULACION DE LA TEMPERATURA EN EL RECIEN NACIDO
P810	HIPERTERMIA DEL RECIEN NACIDO INDUCIDA POR LAS CONDICIONES AMBIENTALES
P818	OTRAS ALTERACIONES ESPECIFICADAS DE LA REGULACION DE LA TEMPERATURA DEL RECIEN NACIDO
P819	ALTERACION NO ESPECIFICADA DE LA REGULACION DE LA TEMPERATURA EN EL RECIEN NACIDO
P83	OTRAS AFECCIONES DE LA PIEL ESPECIFICAS DEL FETO Y DEL RECIEN NACIDO
P830	ESCLEREMA NEONATAL
P831	ERITEMA TOXICO NEONATAL
P832	HIDROPESIA FETAL NO DEBIDA A ENFERMEDAD HEMOLITICA
P833	"OTROS EDEMAS Y LOS NO ESPECIFICADOS, PROPIOS DEL FETO Y DEL RECIEN NACIDO"
P834	INGURGITACION MAMARIA DEL RECIEN NACIDO
P835	HIDROCELE CONGENITO
P836	POLIPO UMBILICAL DEL RECIEN NACIDO
P838	"OTRAS AFECCIONES ESPECIFICADAS DE LA PIEL, PROPIOS DEL FETO Y DEL RECIEN NACIDO"
P839	"AFECCION NO ESPECIFICADO DE LA PIEL, PROPIA DEL FETO Y DEL RECIEN NACIDO"
P90	CONVULSIONES DEL RECIEN NACIDO
P90X	CONVULSIONES DEL RECIEN NACIDO
P91	OTRAS ALTERACIONES CEREBRALES DEL RECIEN NACIDO
P910	ISQUEMIA CEREBRAL NEONATAL
P911	QUISTES PERIVENTRICULARES ADQUIRIDOS DEL RECIEN NACIDO
P912	LEUCOMALACIA CEREBRAL NEONATAL
P913	IRRITABILIDAD CEREBRAL NEONATAL
P914	DEPRESION CEREBRAL NEONATAL
P915	COMA NEONATAL
P918	OTRAS ALTERACIONES CEREBRALES ESPECIFICADAS DEL RECIEN NACIDO
P919	ALTERACION CEREBRAL NO ESPECIFICADA DEL RECIEN NACIDO
P92	PROBLEMAS DE LA INGESTION DE ALIMENTOS DEL RECIEN NACIDO
P920	VOMITOS DEL RECIEN NACIDO
P921	REGURGITACION Y RUMIACION DEL RECIEN NACIDO
P922	LENTITUD EN LA INGESTION DE ALIMENTOS DEL RECIEN NACIDO
P923	HIPOALIMENTACION DEL RECIEN NACIDO
P924	HIPERALIMENTACION DEL RECIEN NACIDO
P925	DIFICULTAD NEONATAL EN LA LACTANCIA MATERNA
P928	OTROS PROBLEMAS DE ALIMENTACION DEL RECIEN NACIDO
